beta,lambda,gamma,mean_auroc,min_auroc,mean_recall,min_recall,mean_fpr,max_fpr
0.75,0.0,1.0,0.8426411867947398,0.29235016308800355,0.2766520652486981,0.0,0.05112421155035866,0.056445206338587614
1.0,0.75,0.25,0.8877842035022783,0.2884557859711928,0.7161147959521829,0.0,0.049741952744010345,0.05039501016681256
0.75,0.5,0.5,0.8849028749740915,0.28459007177652035,0.6924192063880544,0.0,0.05024929194479584,0.05444246009599286
0.5,0.25,1.0,0.876759728196485,0.2824275178294239,0.5692472942070783,0.0,0.050353127004622376,0.05419111023224134
1.0,0.0,1.0,0.8118001945482837,0.28131256072142136,0.2904530255107604,0.0,0.0699104190930255,0.0747119412437916
0.25,0.75,0.75,0.8892527118378531,0.27570560428441077,0.7058265999615194,0.0,0.04982655734890003,0.05119416430470415
0.75,0.25,0.75,0.8687323677136126,0.273333276354961,0.5343640644912891,0.0,0.050106745266789335,0.051835651622711094
0.5,0.5,0.75,0.8872380130156575,0.26639541802183314,0.7213492671213552,0.0,0.04987587951256921,0.05097295085016929
0.5,0.75,0.5,0.8876149981401931,0.2620399924257775,0.716252890685004,0.0,0.04975471225181342,0.05042725502598256
0.25,1.0,0.5,0.874930161997794,0.26028960900769305,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.5,1.0,0.25,0.874930161997794,0.26028960900769305,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
1.0,0.5,0.5,0.8747186973630313,0.25444106358996676,0.5748132962821206,0.0,0.05015963336611127,0.052245261171034486
1.0,0.25,0.75,0.8427054168973347,0.24888842182958051,0.40758292581356204,0.0,0.05034738932600859,0.05486976052270805
0.25,0.75,1.0,0.8853989589903929,0.23753782145803215,0.704762591761434,0.0,0.049827466755824106,0.05138751565486784
0.25,1.0,0.75,0.8706746281914131,0.22842892246544616,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.75,1.0,0.25,0.8706746281914131,0.22842892246544616,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.75,0.25,1.0,0.8605601187930734,0.2272877156711502,0.5554674371418324,0.0,0.050304324711865314,0.053353127289590886
0.75,0.75,0.5,0.8812433466565626,0.22716639952601833,0.7172858203133984,0.0,0.04974939698094916,0.050511915526645856
0.5,0.5,1.0,0.8792374444595245,0.21741673193404693,0.7196905574019427,0.0,0.0499202807518667,0.051115663893186156
1.0,0.25,1.0,0.8247284675032098,0.21506534965780802,0.2884242905091604,0.0,0.050860264705004335,0.054231623073011624
0.75,0.5,0.75,0.8744253639068317,0.21202144962643332,0.626695948116436,0.0,0.050134747438996076,0.05361545053061763
0.25,1.0,1.0,0.8672090366499597,0.21062323051226695,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.5,1.0,0.5,0.8672090366499597,0.21062323051226695,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
1.0,1.0,0.25,0.8672090366499597,0.21062323051226695,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
1.0,0.75,0.5,0.8759733025835159,0.20998141819016816,0.7172078700411275,0.0,0.049840731457953515,0.05138115100778812
0.5,0.75,0.75,0.8785832768216068,0.2071958028451119,0.7173657956112329,0.0,0.04976942333787511,0.05043035557043817
1.0,0.5,0.75,0.8542745243616002,0.20423216247688214,0.5139115702439527,0.0,0.049994094873714576,0.05218329784441268
0.75,0.75,0.75,0.8724799126847362,0.19063401362598476,0.7181075340027995,0.0,0.049825907944174644,0.05152991278476213
1.0,0.75,1.0,0.8232154539719799,0.1901009031868552,0.2884242905091604,0.0,0.050860264705004335,0.054231623073011624
1.0,0.5,1.0,0.8261358763847353,0.1876858992636733,0.2884242905091604,0.0,0.050860264705004335,0.054231623073011624
1.0,1.0,1.0,0.8211728540929835,0.18731634195129487,0.7182803205044215,0.0,0.09888150699458295,0.10177227121082462
0.5,1.0,0.75,0.8610233203363636,0.18515790432166937,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.75,1.0,0.5,0.8610233203363636,0.18515790432166937,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.75,0.5,1.0,0.8611514495539195,0.18408025227517355,0.5953481417731171,0.0,0.050101995404617905,0.054008417829438084
1.0,0.75,0.75,0.864863554619483,0.1789616145651386,0.6738706359321932,0.0,0.050284385189975946,0.056186144618021225
0.5,1.0,1.0,0.8554451588213052,0.16820524713907295,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
1.0,1.0,0.5,0.8554451588213052,0.16820524713907295,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.5,0.75,1.0,0.872726780814941,0.1671361873830761,0.718173210172319,0.0,0.049773508028029975,0.050584837966339
0.75,1.0,0.75,0.8531633768312478,0.16255419640806787,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.75,0.75,1.0,0.8659731345726589,0.15741932823092875,0.7185392976897857,0.0,0.0499010053691424,0.05224455269375492
0.75,1.0,1.0,0.8464264222313226,0.15679941264925878,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
1.0,1.0,0.75,0.846426422313226,0.15679941264925878,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
